image_name;image_url;description;availible
MA-001:Urbana (mayerly);"https://github.com/SabidurAI/MayaAirwaysSite/assets/36314124/0de3be2b-bcf9-4d0c-b35a-e9b52561953b
https://github.com/SabidurAI/MayaAirwaysSite/assets/36314124/0de3be2b-bcf9-4d0c-b35a-e9b52561953b";La bicicleta “Urbana SITP” se armó en junio de 2021, y estuvo exhibida en Moovil desde Julio de 2021. Fue adoptada por Gabriela, quien después decidió dejarla disponible para que alguien más goce de ésta.;y
;;;
